date_bedtime,date_wake,broken_sleep_ind,bedtime,wake,nap_ind,rating,duration_mins,duration_hours,bedtime_hour,dist_from_6pm_mins,mins_from_8_hours,day_of_week,work_day
2019-12-18T05:00:00Z,2019-12-19T05:00:00Z,0,2019-12-19T06:21:00Z,2019-12-19T13:40:00Z,0,3.5,439,7.3,1,441,-41,Wed,Worknight
2019-12-19T05:00:00Z,2019-12-20T05:00:00Z,0,2019-12-20T05:22:00Z,2019-12-20T15:08:00Z,0,4.5,586,9.8,0,382,106,Thu,Worknight
2019-12-20T05:00:00Z,2019-12-21T05:00:00Z,0,2019-12-21T05:52:00Z,2019-12-21T13:55:00Z,0,4.5,483,8.1,0,412,3,Fri,Fri-Sat
2019-12-21T05:00:00Z,2019-12-22T05:00:00Z,0,2019-12-22T03:56:00Z,2019-12-22T14:24:00Z,0,3.5,628,10.5,22,296,148,Sat,Fri-Sat
2019-12-22T05:00:00Z,2019-12-23T05:00:00Z,0,2019-12-23T06:06:00Z,2019-12-23T13:26:00Z,0,2.75,440,7.3,1,426,-40,Sun,Worknight
2019-12-23T05:00:00Z,2019-12-24T05:00:00Z,0,2019-12-24T07:13:00Z,2019-12-24T14:00:00Z,0,0,407,6.8,2,493,-73,Mon,Worknight
2019-12-24T05:00:00Z,2019-12-25T05:00:00Z,0,2019-12-25T10:05:00Z,2019-12-25T15:45:00Z,0,2.5,340,5.7,5,665,-140,Tue,Worknight
2019-12-25T05:00:00Z,2019-12-26T05:00:00Z,1,2019-12-26T07:07:00Z,2019-12-26T13:03:00Z,1,4,356,5.9,2,487,-124,Wed,Worknight
2019-12-26T05:00:00Z,2019-12-27T05:00:00Z,0,2019-12-27T03:25:00Z,2019-12-27T13:26:00Z,0,3.5,601,10,22,265,121,Thu,Worknight
2019-12-27T05:00:00Z,2019-12-28T05:00:00Z,0,2019-12-28T05:43:00Z,2019-12-28T13:38:00Z,0,3.5,475,7.9,0,403,-5,Fri,Fri-Sat
2019-12-28T05:00:00Z,2019-12-29T05:00:00Z,0,2019-12-29T04:36:00Z,2019-12-29T14:31:00Z,0,0,595,9.9,23,336,115,Sat,Fri-Sat
2019-12-29T05:00:00Z,2019-12-30T05:00:00Z,0,2019-12-30T04:48:00Z,2019-12-30T13:19:00Z,0,4.25,511,8.5,23,348,31,Sun,Worknight
2019-12-30T05:00:00Z,2019-12-31T05:00:00Z,0,2019-12-31T03:37:00Z,2019-12-31T12:44:00Z,0,3.75,547,9.1,22,277,67,Mon,Worknight
2019-12-31T05:00:00Z,2020-01-01T05:00:00Z,0,2020-01-01T05:36:00Z,2020-01-01T15:28:00Z,0,4.5,592,9.9,0,396,112,Tue,Worknight
2020-01-01T05:00:00Z,2020-01-02T05:00:00Z,0,2020-01-02T06:24:00Z,2020-01-02T13:33:00Z,0,4,429,7.2,1,444,-51,Wed,Worknight
2020-01-02T05:00:00Z,2020-01-03T05:00:00Z,0,2020-01-03T04:43:00Z,2020-01-03T13:04:00Z,0,4.5,501,8.3,23,343,21,Thu,Worknight
2020-01-03T05:00:00Z,2020-01-04T05:00:00Z,0,2020-01-04T04:49:00Z,2020-01-04T15:10:00Z,0,3.75,621,10.3,23,349,141,Fri,Fri-Sat
2020-01-04T05:00:00Z,2020-01-05T05:00:00Z,0,2020-01-05T04:09:00Z,2020-01-05T14:08:00Z,0,3.5,599,10,23,309,119,Sat,Fri-Sat
2020-01-05T05:00:00Z,2020-01-06T05:00:00Z,0,2020-01-06T04:51:00Z,2020-01-06T13:20:00Z,0,0,509,8.5,23,351,29,Sun,Worknight
2020-01-06T05:00:00Z,2020-01-07T05:00:00Z,0,2020-01-07T03:15:00Z,2020-01-07T13:03:00Z,0,4.5,588,9.8,22,255,108,Mon,Worknight
2020-01-07T05:00:00Z,2020-01-08T05:00:00Z,0,2020-01-08T05:27:00Z,2020-01-08T13:01:00Z,0,2.25,454,7.6,0,387,-26,Tue,Worknight
2020-01-08T05:00:00Z,2020-01-09T05:00:00Z,0,2020-01-09T05:14:00Z,2020-01-09T13:31:00Z,0,3.5,497,8.3,0,374,17,Wed,Worknight
2020-01-09T05:00:00Z,2020-01-10T05:00:00Z,0,2020-01-10T06:19:00Z,2020-01-10T13:06:00Z,0,4.5,407,6.8,1,439,-73,Thu,Worknight
2020-01-10T05:00:00Z,2020-01-11T05:00:00Z,0,2020-01-11T08:23:00Z,2020-01-11T13:14:00Z,0,2.75,291,4.8,3,563,-189,Fri,Fri-Sat
2020-01-11T05:00:00Z,2020-01-12T05:00:00Z,0,2020-01-12T05:24:00Z,2020-01-12T14:55:00Z,0,3.75,571,9.5,0,384,91,Sat,Fri-Sat
2020-01-12T05:00:00Z,2020-01-13T05:00:00Z,0,2020-01-13T06:39:00Z,2020-01-13T13:38:00Z,0,4.25,419,7,1,459,-61,Sun,Worknight
2020-01-13T05:00:00Z,2020-01-14T05:00:00Z,0,2020-01-14T07:48:00Z,2020-01-14T12:53:00Z,0,3.5,305,5.1,2,528,-175,Mon,Worknight
2020-01-14T05:00:00Z,2020-01-15T05:00:00Z,0,2020-01-15T04:21:00Z,2020-01-15T13:19:00Z,0,4,538,9,23,321,58,Tue,Worknight
2020-01-15T05:00:00Z,2020-01-16T05:00:00Z,0,2020-01-16T04:28:00Z,2020-01-16T13:12:00Z,0,3.75,524,8.7,23,328,44,Wed,Worknight
2020-01-16T05:00:00Z,2020-01-17T05:00:00Z,0,2020-01-17T04:35:00Z,2020-01-17T13:03:00Z,0,4.25,508,8.5,23,335,28,Thu,Worknight
2020-01-17T05:00:00Z,2020-01-18T05:00:00Z,0,2020-01-18T07:35:00Z,2020-01-18T13:55:00Z,0,3.5,380,6.3,2,515,-100,Fri,Fri-Sat
2020-01-18T05:00:00Z,2020-01-19T05:00:00Z,0,2020-01-19T08:19:00Z,2020-01-19T13:26:00Z,0,3,307,5.1,3,559,-173,Sat,Fri-Sat
2020-01-19T05:00:00Z,2020-01-20T05:00:00Z,0,2020-01-20T05:04:00Z,2020-01-20T16:02:00Z,0,3.5,658,11,0,364,178,Sun,Worknight
2020-01-20T05:00:00Z,2020-01-21T05:00:00Z,0,2020-01-21T04:27:00Z,2020-01-21T13:31:00Z,0,3.75,544,9.1,23,327,64,Mon,Worknight
2020-01-21T05:00:00Z,2020-01-22T05:00:00Z,0,2020-01-22T05:21:00Z,2020-01-22T13:04:00Z,0,2.5,463,7.7,0,381,-17,Tue,Worknight
